,Unnamed: 0,image,superpixels,compactness,model,shap_value,predicted,predicted_var,P(e = 0)
121,15,Llama.png,30,10,alexnet,0.4990649322766964,10.30415579,2.14581983,0.2625910336796276
122,16,Llama.png,30,10,alexnet,0.6326060570023007,10.30415579,2.14581983,0.2625910336796276
123,17,Llama.png,30,10,alexnet,1.815745126835826,10.30415579,2.14581983,0.2625910336796276
124,18,Llama.png,30,10,alexnet,0.6058579324798679,10.30415579,2.14581983,0.2625910336796276
125,19,Llama.png,30,10,alexnet,-0.3860555780345649,10.30415579,2.14581983,0.2625910336796276
126,0,Llama.png,30,1000,alexnet,0.7442383192396202,10.30398605,1.44812351,0.3891136486099871
127,1,Llama.png,30,1000,alexnet,0.4577981106174418,10.30398605,1.44812351,0.3891136486099871
128,2,Llama.png,30,1000,alexnet,0.6966297846684779,10.30398605,1.44812351,0.3891136486099871
129,3,Llama.png,30,1000,alexnet,0.1612686356030859,10.30398605,1.44812351,0.3891136486099871
130,4,Llama.png,30,1000,alexnet,0.8752376014528545,10.30398605,1.44812351,0.3891136486099871
131,5,Llama.png,30,1000,alexnet,1.6543791153246443,10.30398605,1.44812351,0.3891136486099871
