,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
4,broccoli_cauli.jpg,14,30,googlenet,-0.015035983325679472,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
5,broccoli_cauli.jpg,14,30,googlenet,0.07820816109647616,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
6,broccoli_cauli.jpg,14,30,googlenet,-0.010899716952283027,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
7,broccoli_cauli.jpg,14,30,googlenet,-0.00974432914561554,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
8,broccoli_cauli.jpg,14,30,googlenet,-0.010515881535046423,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
9,broccoli_cauli.jpg,14,30,googlenet,-0.007392283170911465,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
10,broccoli_cauli.jpg,14,30,googlenet,0.059703366978215,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
11,broccoli_cauli.jpg,14,30,googlenet,-0.008324634353617258,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
12,broccoli_cauli.jpg,14,30,googlenet,-0.012178804408333698,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
13,broccoli_cauli.jpg,14,30,googlenet,-0.013139445696612042,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
0,broccoli_cauli.jpg,14,30,googlenet,-0.016645983170015144,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
1,broccoli_cauli.jpg,14,30,googlenet,0.001379992799939606,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
2,broccoli_cauli.jpg,14,30,googlenet,-0.00444968156853053,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
3,broccoli_cauli.jpg,14,30,googlenet,-0.011333683550725046,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
4,broccoli_cauli.jpg,14,30,googlenet,-0.010956708770743619,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
5,broccoli_cauli.jpg,14,30,googlenet,0.05534460992677716,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
6,broccoli_cauli.jpg,14,30,googlenet,-0.0020996471853638454,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
7,broccoli_cauli.jpg,14,30,googlenet,0.017184904291086912,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
8,broccoli_cauli.jpg,14,30,googlenet,-0.00028269631870264916,255,0.03553747998199762,0.006852100392513795,81.88490227997679,20
